Unnamed: 0,Unnamed: 1, z Czas opóźnień > 5 minut,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Razem:  z Czas opóźnień > 5 minut
Stacja,Przewoźnik,styczeń,luty,marzec,kwiecień,maj,czerwiec,lipiec,sierpień,wrzesień,październik,listopad,grudzień,
Warszawa Wschodnia,PKP INTERCITY Spółka Akcyjna ,31883,13995,15498,12997,15238,26214,31790,33913,26430,22209,27258,33812,291237
Warszawa Wschodnia,Koleje Mazowieckie - KM Spółka z o.o.,11906,4722,6011,5642,9121,20583,29757,12448,11046,14362,16741,10664,153003
Warszawa Wschodnia,Szybka Kolej Miejska Sp. z o.o.,3292,1368,1455,895,2060,6694,8973,3315,2788,2924,3205,3818,40787
Warszawa Wschodnia,POLREGIO Spółka Akcyjna,,,,,,560,623,642,791,633,613,319,4181
Warszawa Wschodnia,SKPL Cargo Sp. z o.o.  (przewozy pasażerskie),448,46,66,136,192,556,220,751,255,157,113,45,2985
Warszawa Wschodnia,Łódzka Kolej Aglomeracyjna Sp. z o.o.,,,,,,75,17,28,110,59,107,868,1264
Warszawa Wschodnia,Freightliner PL Spółka z o.o.,,,,,,,,,,,,,
Warszawa Wschodnia ,,47529,20131,23030,19670,26611,54682,71380,51097,41420,40344,48037,49526,493457
Warszawa Zachodnia,PKP INTERCITY Spółka Akcyjna ,26971,12285,14520,13423,15065,22527,30691,33603,30333,24021,28650,34177,286266
Warszawa Zachodnia,Koleje Mazowieckie - KM Spółka z o.o.,10242,4545,5701,5564,8818,16884,28306,10845,10763,13226,15138,8952,138984
Warszawa Zachodnia,Szybka Kolej Miejska Sp. z o.o.,2301,945,818,610,1735,5701,10176,3959,3532,3332,3718,4145,40972
Warszawa Zachodnia,POLREGIO Spółka Akcyjna,850,339,410,299,602,298,582,527,1020,781,954,584,7246
Warszawa Zachodnia,Łódzka Kolej Aglomeracyjna Sp. z o.o.,149,92,143,219,97,188,119,102,236,306,282,1130,3063
Warszawa Zachodnia,Freightliner PL Spółka z o.o.,,,,,,,,,,,,,
Warszawa Zachodnia ,,40513,18206,21592,20115,26317,45598,69874,49036,45884,41666,48742,48988,476531
Wrocław Główny,PKP INTERCITY Spółka Akcyjna ,23028,8923,10343,8235,12395,18235,19057,16412,17828,14161,18316,20412,187345
Wrocław Główny,Koleje Dolnośląskie S.A.,22943,7810,8048,8018,12047,8060,16594,10812,21548,13761,24646,18796,173083
Wrocław Główny,POLREGIO Spółka Akcyjna,8162,4124,4405,4247,5014,5255,6633,4566,9425,6204,7727,5242,71004
Wrocław Główny,CARGO Master Spółka z o.o.,,,,,10,,,,,,,,10
Wrocław Główny,CARGO TRAIN Sp. z o.o.,,,,,,,,,,,,,
Wrocław Główny,LEO Express Global a.s.,,,,,,,,,,,,,
Wrocław Główny,,54133,20857,22796,20500,29466,31550,42284,31790,48801,34126,50689,44450,431442
Poznań Główny,PKP INTERCITY Spółka Akcyjna ,23120,10095,11686,9285,10234,23825,18606,18117,15530,15530,15895,21090,193013
Poznań Główny,Koleje Wielkopolskie Sp. z o.o.,7661,3973,6691,3684,5159,21932,6703,6038,5203,6046,6245,7513,86848
Poznań Główny,POLREGIO Spółka Akcyjna,8046,3229,4358,3504,3789,8788,4615,5785,5507,5702,5352,5725,64400
Poznań Główny,Łódzka Kolej Aglomeracyjna Sp. z o.o.,,11,8,103,,,62,55,6,,,32,277
Poznań Główny,CARGO Master Spółka z o.o.,,,,,46,,,,,,,,46
Poznań Główny,RAILPOLONIA Sp. z o.o. (przewozy pasażerskie),,,,,,,,,,,,40,40
Poznań Główny,Parowozownia Wolsztyn,,,,,,,,,,,,,
Poznań Główny ,,38827,17308,22743,16576,19228,54545,29986,29995,26246,27278,27492,34400,344624
Gdańsk Wrzeszcz,PKP INTERCITY Spółka Akcyjna ,24281,7925,6784,8111,9154,18116,29869,27813,13304,12049,13908,17224,188538
Gdańsk Wrzeszcz,POLREGIO Spółka Akcyjna,7308,2179,4102,2497,3149,4809,7767,7771,4633,4440,3536,5259,57450
Gdańsk Wrzeszcz,PKP Szybka Kolej Miejska w Trójmieście sp. z o.o.,2908,532,1271,778,512,457,1724,905,1447,1501,1128,2722,15885
Gdańsk Wrzeszcz,Koleje Mazowieckie - KM Spółka z o.o.,,,,,,184,756,714,20,,,,1674
Gdańsk Wrzeszcz ,,34497,10636,12157,11386,12815,23566,40116,37203,19404,17990,18572,25205,263547
Gdynia Główna,PKP INTERCITY Spółka Akcyjna ,23202,6840,5974,7540,8358,17251,29248,26141,12298,11364,13352,16170,177738
Gdynia Główna,POLREGIO Spółka Akcyjna,8630,2294,3844,2810,5936,11406,15060,13505,8641,5228,4569,7864,89787
Gdynia Główna,PKP Szybka Kolej Miejska w Trójmieście sp. z o.o.,3326,651,1361,1036,768,1005,2454,1501,1281,2269,1816,3211,20679
Gdynia Główna,Koleje Mazowieckie - KM Spółka z o.o.,,,,,,161,687,616,17,,,,1481
Gdynia Główna,CARGO Master Spółka z o.o.,,,,,,,,,,,,,
Gdynia Główna,,35158,9785,11179,11386,15062,29823,47449,41763,22237,18861,19737,27245,289685
Kraków Główny,PKP INTERCITY Spółka Akcyjna ,32992,11805,12258,10737,13397,18860,22655,28428,18734,16542,19945,22805,229158
Kraków Główny,POLREGIO Spółka Akcyjna,12257,4820,5823,3663,4089,5253,5655,6332,4862,6486,6296,5688,71224
Kraków Główny,Koleje Małopolskie Sp. z o.o.,6509,1657,2758,1962,1694,3206,2628,3701,2576,2320,2172,1662,32845
Kraków Główny,RegioJet a.s.,1874,699,1884,1192,1405,2095,2149,1625,1456,922,935,1265,17501
Kraków Główny,Koleje Śląskie Spółka z o.o.,459,166,90,92,190,210,199,375,228,418,559,406,3392
Kraków Główny,LEO Express Global a.s.,36,10,64,91,36,87,46,24,58,7,20,471,950
Kraków Główny,Leo Express s.r.o.,,,,,,,,,,,,42,42
Kraków Główny,,54127,19157,22877,17737,20811,29711,33332,40485,27914,26695,29927,32339,355112
Katowice,PKP INTERCITY Spółka Akcyjna ,24821,11760,11920,10251,11866,19379,18427,15153,16006,12146,16647,18973,187349
Katowice,Koleje Śląskie Spółka z o.o.,14263,7246,7731,7634,7784,11515,11763,8615,10807,9482,14304,10773,121917
Katowice,POLREGIO Spółka Akcyjna,4162,1049,1005,1141,1292,1460,1025,1452,907,1427,1937,1619,18476
Katowice ,,43246,20055,20656,19026,20942,32354,31215,25220,27720,23055,32888,31365,327742
Sopot,PKP INTERCITY Spółka Akcyjna ,24099,7725,6585,7877,8871,18118,29571,28014,13077,11794,13855,17162,186748
Sopot,POLREGIO Spółka Akcyjna,6393,1750,2526,2021,2589,4112,6508,6495,3283,3870,2859,3650,46056
Sopot,PKP Szybka Kolej Miejska w Trójmieście sp. z o.o.,3123,521,1263,870,611,658,1954,1119,1230,1468,1239,2848,16904
Sopot,Koleje Mazowieckie - KM Spółka z o.o.,,,,,,172,735,659,20,,,,1586
Sopot,CARGO Master Spółka z o.o.,,,,,,,,,,,,,
Sopot,,33615,9996,10374,10768,12071,23060,38768,36287,17610,17132,17953,23660,251294
Gdańsk Główny,PKP INTERCITY Spółka Akcyjna ,24616,8076,6966,8170,9244,18218,31488,27739,13389,12142,14256,17562,191866
Gdańsk Główny,POLREGIO Spółka Akcyjna,6413,1787,2419,1942,2506,3975,6031,6091,3096,3565,2673,3300,43798
Gdańsk Główny,PKP Szybka Kolej Miejska w Trójmieście sp. z o.o.,2803,591,1333,799,530,624,1682,878,1443,1437,1179,2713,16012
Gdańsk Główny,Koleje Mazowieckie - KM Spółka z o.o.,,,,,,186,764,727,21,,,,1698
Gdańsk Główny,CARGO Master Spółka z o.o.,,49,,,,,,,,,,,49
Gdańsk Główny,,33832,10503,10718,10911,12280,23003,39965,35435,17949,17144,18108,23575,253423
Łódź Widzew,PKP INTERCITY Spółka Akcyjna ,8380,4137,4061,4207,4018,5818,7762,9602,6835,3577,6284,7353,72034
Łódź Widzew,Łódzka Kolej Aglomeracyjna Sp. z o.o.,1990,1248,1673,3216,1995,1904,4346,3358,2357,2338,3249,2828,30502
Łódź Widzew,POLREGIO Spółka Akcyjna,2561,1150,1596,875,1388,862,2819,2488,1874,1021,1993,1549,20176
Łódź Widzew,Koleje Wielkopolskie Sp. z o.o.,,,,,,,,,,,,,
Łódź Widzew,,12931,6535,7330,8298,7401,8584,14927,15448,11066,6936,11526,11730,122712
Warszawa Śródmieście,Koleje Mazowieckie - KM Spółka z o.o.,3765,1831,2266,2082,5226,12661,21806,8540,8568,10616,12463,6863,96687
Warszawa Śródmieście,Szybka Kolej Miejska Sp. z o.o.,1408,584,608,448,1438,3722,6520,2208,2077,1995,2149,2597,25754
