 z Liczba opóźn. pociągów > 5 minut,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Razem:  z Liczba opóźn. pociągów > 5 minut
Stacja,Przewoźnik,styczeń,luty,marzec,kwiecień,maj,czerwiec,lipiec,sierpień,wrzesień,październik,listopad,grudzień,
Warszawa Wschodnia,Freightliner PL Spółka z o.o.,,,,,0,0,,,,,,,0
Warszawa Wschodnia,Koleje Mazowieckie - KM Spółka z o.o.,716,344,419,487,506,895,1294,886,877,1039,1053,663,9179
Warszawa Wschodnia,Łódzka Kolej Aglomeracyjna Sp. z o.o.,,,,,,2,2,3,6,3,8,19,43
Warszawa Wschodnia,PKP INTERCITY Spółka Akcyjna ,1195,606,741,638,690,946,1280,1375,1193,1021,1089,1194,11968
Warszawa Wschodnia,POLREGIO Spółka Akcyjna,,,,,,10,30,24,29,39,27,17,176
Warszawa Wschodnia,SKPL Cargo Sp. z o.o.  (przewozy pasażerskie),6,3,3,4,4,10,9,12,6,4,9,5,75
Warszawa Wschodnia,Szybka Kolej Miejska Sp. z o.o.,218,107,130,90,139,312,428,222,184,217,212,217,2476
Warszawa Wschodnia ,,2135,1060,1293,1219,1339,2175,3043,2522,2295,2323,2398,2115,23917
Warszawa Zachodnia,Freightliner PL Spółka z o.o.,,,,,0,,,,,,,,0
Warszawa Zachodnia,Koleje Mazowieckie - KM Spółka z o.o.,684,340,416,477,504,798,1227,766,881,920,921,586,8520
Warszawa Zachodnia,Łódzka Kolej Aglomeracyjna Sp. z o.o.,15,6,10,8,8,8,6,7,15,18,22,24,147
Warszawa Zachodnia,PKP INTERCITY Spółka Akcyjna ,1058,547,718,650,721,939,1294,1415,1425,1171,1262,1278,12478
Warszawa Zachodnia,POLREGIO Spółka Akcyjna,39,20,19,11,26,15,27,18,40,53,51,42,361
Warszawa Zachodnia,Szybka Kolej Miejska Sp. z o.o.,145,71,68,60,112,340,521,274,232,266,241,260,2590
Warszawa Zachodnia ,,1941,984,1231,1206,1371,2100,3075,2480,2593,2428,2497,2190,24096
Wrocław Główny,CARGO Master Spółka z o.o.,,,0,0,1,,,,,,,,1
Wrocław Główny,CARGO TRAIN Sp. z o.o.,,,,,,,0,,,,,,0
Wrocław Główny,Koleje Dolnośląskie S.A.,1200,495,516,492,618,498,903,703,1037,885,1403,1142,9892
Wrocław Główny,LEO Express Global a.s.,,,0,,,,,,,,,,0
Wrocław Główny,PKP INTERCITY Spółka Akcyjna ,685,373,393,352,472,540,666,622,676,619,744,782,6924
Wrocław Główny,POLREGIO Spółka Akcyjna,401,219,261,254,275,246,334,254,414,367,452,374,3851
Wrocław Główny ,,2286,1087,1170,1098,1366,1284,1903,1579,2127,1871,2599,2298,20668
Poznań Główny,CARGO Master Spółka z o.o.,,,,,2,,,,,,,,2
Poznań Główny,Koleje Wielkopolskie Sp. z o.o.,359,216,268,229,242,503,389,326,365,398,404,418,4117
Poznań Główny,Łódzka Kolej Aglomeracyjna Sp. z o.o.,0,1,1,4,0,0,2,2,1,0,0,4,15
Poznań Główny,Parowozownia Wolsztyn,,,,,0,,,0,,,0,0,0
Poznań Główny,PKP INTERCITY Spółka Akcyjna ,633,446,470,474,442,743,737,741,687,661,697,810,7541
Poznań Główny,POLREGIO Spółka Akcyjna,322,186,224,206,216,331,286,308,333,326,361,303,3402
Poznań Główny,RAILPOLONIA Sp. z o.o. (przewozy pasażerskie),,,,,,,,,,,,3,3
Poznań Główny ,,1314,849,963,913,902,1577,1414,1377,1386,1385,1462,1538,15080
Gdańsk Wrzeszcz,Koleje Mazowieckie - KM Spółka z o.o.,,,,,,7,29,32,1,,,,69
Gdańsk Wrzeszcz,PKP INTERCITY Spółka Akcyjna ,691,370,291,298,397,706,1120,1193,614,523,533,629,7365
Gdańsk Wrzeszcz,PKP Szybka Kolej Miejska w Trójmieście sp. z o.o.,202,46,58,76,41,51,122,85,146,138,99,114,1178
Gdańsk Wrzeszcz,POLREGIO Spółka Akcyjna,333,183,202,178,223,338,499,591,339,304,308,368,3866
Gdańsk Wrzeszcz ,,1226,599,551,552,661,1102,1770,1901,1100,965,940,1111,12478
Gdynia Główna,CARGO Master Spółka z o.o.,,,,0,,,,,,,,,0
Gdynia Główna,Koleje Mazowieckie - KM Spółka z o.o.,,,,,,5,25,28,1,,,,59
Gdynia Główna,PKP INTERCITY Spółka Akcyjna ,624,285,237,229,341,642,1023,1060,529,457,478,547,6452
Gdynia Główna,PKP Szybka Kolej Miejska w Trójmieście sp. z o.o.,243,58,71,99,63,101,186,153,130,225,180,165,1674
Gdynia Główna,POLREGIO Spółka Akcyjna,366,161,194,184,342,605,733,810,539,351,378,456,5119
Gdynia Główna ,,1233,504,502,512,746,1353,1967,2051,1199,1033,1036,1168,13304
Kraków Główny,Koleje Małopolskie Sp. z o.o.,423,131,174,163,159,174,219,256,199,191,185,146,2420
Kraków Główny,Koleje Śląskie Spółka z o.o.,31,16,9,8,11,16,20,21,14,29,37,29,241
Kraków Główny,LEO Express Global a.s.,1,1,3,4,1,2,3,3,2,1,2,7,30
Kraków Główny,PKP INTERCITY Spółka Akcyjna ,1025,506,499,441,527,594,813,1056,749,688,790,789,8477
Kraków Główny,POLREGIO Spółka Akcyjna,605,318,262,231,259,265,291,360,259,356,434,371,4011
Kraków Główny,RegioJet a.s.,27,17,34,29,32,33,32,25,35,38,48,35,385
Kraków Główny,Leo Express s.r.o.,,,,,,,,,,,,4,4
Kraków Główny ,,2112,989,981,876,989,1084,1378,1721,1258,1303,1496,1381,15568
Katowice,Koleje Śląskie Spółka z o.o.,865,457,474,503,566,675,645,509,675,687,874,739,7669
Katowice,PKP INTERCITY Spółka Akcyjna ,806,505,465,419,523,671,666,615,576,546,672,723,7187
Katowice,POLREGIO Spółka Akcyjna,181,82,51,67,84,87,72,72,61,94,117,124,1092
Katowice ,,1852,1044,990,989,1173,1433,1383,1196,1312,1327,1663,1586,15948
Sopot,CARGO Master Spółka z o.o.,,,,0,,,,,,,,,0
Sopot,Koleje Mazowieckie - KM Spółka z o.o.,,,,,,7,28,30,1,,,,66
Sopot,PKP INTERCITY Spółka Akcyjna ,691,358,281,280,382,710,1101,1189,598,499,526,622,7237
Sopot,PKP Szybka Kolej Miejska w Trójmieście sp. z o.o.,228,46,64,88,52,70,141,115,127,137,116,133,1317
Sopot,POLREGIO Spółka Akcyjna,265,132,143,130,170,269,386,476,260,236,243,273,2983
Sopot ,,1184,536,488,498,604,1056,1656,1810,986,872,885,1028,11603
Gdańsk Główny,CARGO Master Spółka z o.o.,,5,,0,,,,,,,,,5
Gdańsk Główny,Koleje Mazowieckie - KM Spółka z o.o.,,,,,,7,29,32,1,,,,69
Gdańsk Główny,PKP INTERCITY Spółka Akcyjna ,719,383,296,304,401,728,1137,1187,630,539,550,661,7535
Gdańsk Główny,PKP Szybka Kolej Miejska w Trójmieście sp. z o.o.,181,49,58,74,42,51,114,78,136,126,98,107,1114
Gdańsk Główny,POLREGIO Spółka Akcyjna,280,150,153,141,173,278,367,465,249,248,237,257,2998
Gdańsk Główny ,,1180,587,507,519,616,1064,1647,1762,1016,913,885,1025,11721
Łódź Widzew,Koleje Wielkopolskie Sp. z o.o.,0,0,0,,,,,,,,,,0
Łódź Widzew,Łódzka Kolej Aglomeracyjna Sp. z o.o.,126,76,100,114,119,107,181,165,155,157,190,138,1628
Łódź Widzew,PKP INTERCITY Spółka Akcyjna ,286,167,178,132,168,221,303,365,278,225,309,290,2922
Łódź Widzew,POLREGIO Spółka Akcyjna,100,54,62,32,52,57,121,92,71,73,102,80,896
Łódź Widzew ,,512,297,340,278,339,385,605,622,504,455,601,508,5446
Warszawa Śródmieście,Koleje Mazowieckie - KM Spółka z o.o.,257,144,147,198,244,620,965,637,720,789,814,519,6054
Warszawa Śródmieście,PKP INTERCITY Spółka Akcyjna ,,,,,,,,,,,2,2,4
Warszawa Śródmieście,POLREGIO Spółka Akcyjna,,,,,,,,,,,,1,1
Warszawa Śródmieście,Szybka Kolej Miejska Sp. z o.o.,80,38,49,43,84,229,330,152,129,169,143,160,1606
Warszawa Śródmieście ,,337,182,196,241,328,849,1295,789,849,958,959,682,7665
Warszawa Ochota,Koleje Mazowieckie - KM Spółka z o.o.,270,141,147,197,243,630,972,634,733,785,814,511,6077
Warszawa Ochota,Szybka Kolej Miejska Sp. z o.o.,90,42,50,44,84,226,334,156,130,167,144,164,1631
Warszawa Ochota ,,360,183,197,241,327,856,1306,790,863,952,958,675,7708
Warszawa Powiśle,Koleje Mazowieckie - KM Spółka z o.o.,248,141,145,189,231,601,953,620,696,781,837,514,5956
Warszawa Powiśle,Szybka Kolej Miejska Sp. z o.o.,73,34,43,42,77,225,313,142,125,169,143,155,1541
Warszawa Powiśle ,,321,175,188,231,308,826,1266,762,821,950,980,669,7497
Warszawa Stadion,Koleje Mazowieckie - KM Spółka z o.o.,245,149,147,207,241,605,955,628,735,821,866,542,6141
Warszawa Stadion,PKP INTERCITY Spółka Akcyjna ,,,,,2,,,,,,,,2
Warszawa Stadion,Szybka Kolej Miejska Sp. z o.o.,73,29,48,44,78,225,315,146,129,174,158,165,1584
Warszawa Stadion ,,318,178,195,251,321,830,1270,774,864,995,1024,707,7727
Warszawa Centralna,Freightliner PL Spółka z o.o.,,,,,0,,,,,,,,0
Warszawa Centralna,Koleje Mazowieckie - KM Spółka z o.o.,356,151,223,229,196,205,234,172,164,159,140,88,2317
Warszawa Centralna,Łódzka Kolej Aglomeracyjna Sp. z o.o.,,,,,,9,6,8,18,16,19,23,99
Warszawa Centralna,PKP INTERCITY Spółka Akcyjna ,1101,597,780,663,735,931,1305,1423,1371,1163,1237,1354,12660
Warszawa Centralna,POLREGIO Spółka Akcyjna,,,,,,9,33,21,46,49,52,39,249
Warszawa Centralna,Szybka Kolej Miejska Sp. z o.o.,5,,0,0,0,53,109,58,67,52,67,43,454
Warszawa Centralna ,,1462,748,1003,892,931,1207,1687,1682,1666,1439,1515,1547,15779
