station,lat,lon
Adamowo,52.9137673,20.1780342
Aleksandrów,51.8190659,20.5122926
Aleksandrów Kujawski,52.8764647,18.694071
Andrychów,49.8555791,19.3436756
Andrychów Górnica,49.858467,19.323956
Andrzejówka,50.593736,22.6076786
Anieliny,53.12928,17.48715
Antonin,51.5167816,17.8526187
Antoniów,51.2135391,20.1727167
Antoniówka,51.4112313,20.1634414
Arcelin,52.6547147,20.3153459
Augustów,53.8437331,22.9802357
Augustów Port,53.8624093,23.0039831
Augustówka,51.661997,22.8119065
Babi Dół,54.2986,18.31126
Babiak,52.344523,18.6667068
Babica,49.9074367,19.5466215
Babica Kolonia,49.9338031,21.8699571
Babimost,52.165312,15.8285175
Baborówko,52.5852574,16.62992
Baboszewo,52.6813829,20.2582764
Baby,52.8164681,20.6007658
Baciuty,53.0473602,22.9834886
Bajtkowo,53.7405392,22.2536451
Balin,51.9377824,18.8192247
Balinka,49.7751541,19.8496255
Baranówka,51.9279203,21.3051742
Barchów,52.5167163,21.6534434
Barcice,49.5250962,20.6514646
Barczewo,53.8297112,20.6911497
Barcząca,52.1544446,21.6354787
Bardo Przyłęk,50.5095162,16.7579648
Bardo Śląskie,50.5048471,16.7340785
Bartnica,50.638228,16.3967958
Bartodzieje,52.841576,17.174327
Bartąg,53.7163455,20.4690375
Barwałd Górny,49.8639848,19.6198961
Barwałd Średni,49.8650707,19.5970051
Barzkowice,53.3406902,15.2666307
Barłogi,51.4256771,22.200585
Baszewice,53.8628538,15.1988083
Basznia,50.1767603,23.2504131
Basznia Dolna,50.1761431,23.2250594
Batowice Lubańskie,51.0908851,15.1557122
Bańska Niżna,49.4053966,20.0104378
Bażanowice,49.73833,18.70208
Bednary,52.0236912,20.3977197
Bedoń,51.7319956,19.6423494
Belęcin Wielkopolski,52.2038272,16.0081403
Berejów,51.50893,22.74981
Berezów,51.0234048,20.8357603
Besko,49.5918349,21.9571794
Bezwola,51.7641151,22.7957593
Bełchów,52.0222764,20.055363
Bełsznica,49.9767105,18.3667884
Bełżec,50.3847191,23.4378426
Bełżec Drugi,50.3807697,23.4036669
Biadki,51.67549,17.54644
Biadoliny,50.0037878,20.73508
Biała,50.3853609,17.6599107
Biała Górna,50.87822,19.05293
Biała Pajęczańska,51.1765156,19.0106554
Biała Pilska,53.0612755,16.5170316
Biała Piska,53.6113625,22.0581433
Biała Podlaska,52.0338399,23.1193948
Białki Siedleckie,52.1286792,22.3093689
Białogard,54.0145099,15.9691251
Białośliwie,53.0999053,17.1228229
Białuń,53.6114243,14.8506816
Biały Bór,53.8987414,16.8377275
Biały Dunajec,49.3805921,20.0122858
Biały Kościół,50.729797,17.0405784
Biały Zdrój Południowy,53.2565172,15.9544736
Białystok,53.132398,23.1591679
Białystok Bacieczki,53.1505228,23.0719921
