station,carrier,total_stops,month,delayed_stops,delay_minutes,delay_risk,delay_severity_min,lat,lon,t2m_c,precip_mm,snowfall_mm,wind_ms,freezing,heavy_rain,windy,cluster_x,cluster_y,cluster
Adamowo,Koleje Wielkopolskie Sp. z o.o.,903,1,23,392,0.0254706533776301,17.043478260869566,52.9137673,20.1780342,-0.902923583984375,1.2804127931594849,0.4950920045375824,2.347859324702578,1.0,0.0,0.0,3.0,3.0,3.0
Adamowo,Koleje Wielkopolskie Sp. z o.o.,837,2,28,333,0.033452807646356,11.892857142857142,52.9137673,20.1780342,5.162872314453125,1.808841228485108,0.0680834054946899,2.106370241353273,0.0,0.0,0.0,3.0,3.0,3.0
Adamowo,Koleje Wielkopolskie Sp. z o.o.,886,3,13,337,0.0146726862302483,25.923076923076923,52.9137673,20.1780342,5.891021728515625,1.5150264501571655,0.0498685985803604,1.53741242740247,0.0,0.0,0.0,3.0,3.0,3.0
Adamowo,Koleje Wielkopolskie Sp. z o.o.,878,4,20,390,0.0227790432801822,19.5,52.9137673,20.1780342,10.323150634765623,1.7388546466827393,0.0136513262987136,1.4322725546698132,0.0,0.0,0.0,3.0,3.0,3.0
Adamowo,Koleje Wielkopolskie Sp. z o.o.,855,5,18,281,0.0210526315789473,15.61111111111111,52.9137673,20.1780342,16.632232666015625,1.0725313425064087,0.0,1.695009705850123,0.0,0.0,0.0,3.0,3.0,3.0
Adamowo,Koleje Wielkopolskie Sp. z o.o.,855,6,38,1886,0.0444444444444444,49.63157894736842,52.9137673,20.1780342,18.753692626953125,2.430506706237793,0.0,0.8044473998633259,0.0,0.0,0.0,3.0,3.0,3.0
Adamowo,Koleje Wielkopolskie Sp. z o.o.,920,7,30,485,0.0326086956521739,16.166666666666668,52.9137673,20.1780342,20.754302978515625,2.49857497215271,0.0,1.1462298886925124,0.0,0.0,0.0,3.0,3.0,3.0
Adamowo,Koleje Wielkopolskie Sp. z o.o.,884,8,20,296,0.0226244343891402,14.8,52.9137673,20.1780342,20.908599853515625,0.9247472286224364,0.0,0.5958559517098276,0.0,0.0,0.0,3.0,3.0,3.0
Adamowo,Koleje Wielkopolskie Sp. z o.o.,878,9,25,338,0.0284738041002277,13.52,52.9137673,20.1780342,18.196441650390625,0.9556729197502136,0.0,1.461174074393919,0.0,0.0,0.0,3.0,3.0,3.0
Adamowo,Koleje Wielkopolskie Sp. z o.o.,920,10,23,386,0.025,16.782608695652176,52.9137673,20.1780342,10.116241455078123,1.2300007343292236,0.0,1.021426253464934,0.0,0.0,0.0,3.0,3.0,3.0
